start_date,end_date,season,country,city,year
2022-02-04,2022-02-20,Winter,China,Beijing,2022
2021-07-23,2021-08-08,Summer,Japan,Tokyo,2020
2018-02-08,2018-02-25,Winter,Republic of Korea,PyeongChang,2018
2016-08-05,2016-08-21,Summer,Brazil,Rio,2016
2014-02-07,2014-02-23,Winter,Russian Federation,Sochi,2014
2012-07-27,2012-08-12,Summer,Great Britain,London,2012
2010-02-12,2010-02-28,Winter,Canada,Vancouver,2010
2008-08-08,2008-08-24,Summer,China,Beijing,2008
2006-02-10,2006-02-26,Winter,Italy,Turin,2006
2004-08-13,2004-08-29,Summer,Greece,Athens,2004
2002-02-08,2002-02-24,Winter,United States,Salt,Lake City 2002
2000-09-15,2000-10-01,Summer,Australia,Sydney,2000
1998-02-06,1998-02-22,Winter,Japan,Nagano,1998
1996-07-19,1996-08-05,Summer,United States,Atlanta,1996
1994-02-12,1994-02-27,Winter,Norway,Lillehammer,1994
1992-07-25,1992-08-09,Summer,Spain,Barcelona,1992
1992-02-08,1992-02-23,Winter,France,Albertville,1992
1988-09-16,1988-10-02,Summer,Republic of Korea,Seoul,1988
1988-02-13,1988-02-28,Winter,Canada,Calgary,1988
1984-07-28,1984-08-12,Summer,United States,Los,Angeles 1984
1984-02-08,1984-02-19,Winter,Yugoslavia,Sarajevo,1984
1980-07-19,1980-08-03,Summer,USSR,Moscow,1980
1980-02-13,1980-02-24,Winter,United States,Lake,Placid 1980
1976-07-17,1976-07-31,Summer,Canada,Montreal,1976
1976-02-04,1976-02-15,Winter,Austria,Innsbruck,1976
1972-08-26,1972-09-11,Summer,Federal Republic of Germany,Munich,1972
1972-02-02,1972-02-13,Winter,Japan,Sapporo,1972
1968-10-12,1968-10-28,Summer,Mexico,Mexico,City 1968
1968-02-06,1968-02-18,Winter,France,Grenoble,1968
1964-10-09,1964-10-24,Summer,Japan,Tokyo,1964
1964-01-29,1964-02-09,Winter,Austria,Innsbruck,1964
1960-08-25,1960-09-11,Summer,Italy,Rome,1960
1960-02-18,1960-02-28,Winter,United States,Squaw,Valley 1960
1956-11-21,1956-12-08,Summer,"Australia, Sweden",Melbourne,1956
1956-01-26,1956-02-05,Winter,Italy,Cortina,d'Ampezzo 1956
1952-07-19,1952-08-03,Summer,Finland,Helsinki,1952
1952-02-14,1952-02-25,Winter,Norway,Oslo,1952
1948-07-29,1948-08-14,Summer,Great Britain,London,1948
1948-01-30,1948-02-08,Winter,Switzerland,St.,Moritz 1948
1936-08-01,1936-08-16,Summer,Germany,Berlin,1936
1936-02-06,1936-02-16,Winter,Germany,Garmisch-Partenkirchen,1936
1932-07-30,1932-08-14,Summer,United States,Los,Angeles 1932
1932-02-04,1932-02-15,Winter,United States,Lake,Placid 1932
1928-05-17,1928-08-12,Summer,Netherlands,Amsterdam,1928
1928-02-11,1928-02-19,Winter,Switzerland,St.,Moritz 1928
1924-05-04,1924-07-27,Summer,France,Paris,1924
1924-01-25,1924-02-05,Winter,France,Chamonix,1924
1920-04-20,1920-09-12,Summer,Belgium,Antwerp,1920
1912-05-05,1912-07-27,Summer,Sweden,Stockholm,1912
1908-04-27,1908-10-31,Summer,Great Britain,London,1908
1904-07-01,1904-11-24,Summer,United States,St.,Louis 1904
1900-05-14,1900-10-28,Summer,France,Paris,1900
1896-04-06,1896-04-15,Summer,Greece,Athens,1896
